initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,22,0,60,0.0
RD,30,Closure,22,1,60,0.0
RD,30,Closure,22,2,60,7.89
RD,30,Closure,23,2,60,0.0
RD,30,Closure,24,1,60,12.04
RD,30,Closure,24,3,60,12.04
RD,30,Closure,25,1,60,0.25
RD,30,Closure,25,3,60,0.25
RD,30,Closure,25,4,60,0.5
RD,30,Closure,26,0,60,2.38
RD,30,Closure,26,1,60,2.38
RD,30,Closure,26,2,60,0.0
RD,30,Closure,26,3,60,9.52
RD,30,Closure,26,4,60,4.76
RD,30,Closure,27,0,60,35.0
RD,30,Closure,27,1,60,38.33
RD,30,Closure,27,2,60,33.33
RD,30,Closure,27,3,60,55.0
RD,30,Closure,27,4,60,40.0
RD,30,Closure,28,1,60,50.0
RD,30,Closure,28,2,60,50.0
RD,30,Closure,28,3,60,50.0
RD,30,Closure,28,4,60,50.0
RD,30,Closure,29,4,60,0.0
RD,30,Closure,30,0,60,0.45
RD,30,Closure,30,1,60,0.0
RD,30,Closure,30,4,60,0.0
RD,30,Closure,31,0,60,1.51
RD,30,Closure,31,1,60,3.77
RD,30,Closure,31,2,60,0.0
RD,30,Closure,31,3,60,2.51
RD,30,Closure,31,4,60,7.29
RD,30,Closure,32,0,60,0.48
RD,30,Closure,32,1,60,0.16
RD,30,Closure,32,2,60,0.48
RD,30,Closure,32,4,60,3.86
RD,30,Closure,33,0,60,13.74
RD,30,Closure,33,1,60,30.22
RD,30,Closure,33,2,60,28.02
RD,30,Closure,33,3,60,1.1
RD,30,Closure,33,4,60,30.77
RD,30,Closure,34,0,60,14.04
RD,30,Closure,34,1,60,9.19
RD,30,Closure,34,2,60,9.36
RD,30,Closure,34,3,60,13.34
RD,30,Closure,34,4,60,8.32
RD,30,Closure,35,0,60,0.0
RD,30,Closure,35,1,60,0.0
RD,30,Closure,35,2,60,0.24
RD,30,Closure,35,3,60,0.0
RD,30,Closure,36,0,60,0.0
RD,30,Closure,36,3,60,0.0
RD,30,Closure,36,4,60,0.43
RD,30,Closure,37,0,60,1.81
RD,30,Closure,37,1,60,1.55
RD,30,Closure,37,2,60,2.84
RD,30,Closure,37,3,60,1.03
RD,30,Closure,37,4,60,2.33
RD,30,Closure,38,1,60,7.58
RD,30,Closure,38,2,60,4.55
RD,30,Closure,38,3,60,1.52
RD,30,Closure,38,4,60,4.55
RD,30,Closure,39,0,60,25.58
RD,30,Closure,39,1,60,27.33
RD,30,Closure,39,2,60,26.16
RD,30,Closure,39,3,60,32.56
RD,30,Closure,39,4,60,19.19
RD,30,Closure,40,0,60,5.53
RD,30,Closure,40,1,60,5.99
RD,30,Closure,40,4,60,0.23
RD,30,Closure,41,0,60,0.81
RD,30,Closure,41,1,60,0.81
RD,30,Closure,41,2,60,0.0
RD,30,Closure,41,3,60,0.0
RD,30,Closure,42,0,60,0.71
RD,30,Closure,42,2,60,0.71
RD,30,Closure,42,3,60,1.42
RD,30,Closure,42,4,60,0.36
RD,30,Closure,43,0,60,0.0
RD,30,Closure,43,1,60,0.0
RD,30,Closure,43,2,60,0.0
RD,30,Closure,43,3,60,0.0
RD,30,Closure,43,4,60,0.0
RD,30,Closure,44,0,60,23.44
RD,30,Closure,44,1,60,6.25
RD,30,Closure,44,2,60,14.06
RD,30,Closure,45,1,60,0.0
RD,30,Closure,45,2,60,0.0
RD,30,Closure,46,2,60,0.0
RD,30,Closure,46,4,60,0.0
RD,30,Closure,47,2,60,0.0
RD,30,Closure,47,3,60,0.0
RD,30,Closure,47,4,60,0.0
RD,30,Closure,48,0,60,0.0
RD,30,Closure,48,2,60,0.0
RD,30,Closure,48,4,60,0.0
RD,30,Closure,49,0,60,12.38
RD,30,Closure,49,1,60,0.0
RD,30,Closure,49,3,60,0.0
RD,30,Closure,49,4,60,0.95
RD,30,Closure,50,1,60,0.0
RD,30,Closure,50,2,60,0.0
RD,30,Closure,50,4,60,0.4
RD,30,Closure,51,0,60,6.67
RD,30,Closure,51,1,60,5.0
RD,30,Closure,51,2,60,11.67
RD,30,Closure,51,3,60,13.33
RD,30,Closure,51,4,60,33.33
RD,30,Closure,52,0,60,4.64
RD,30,Closure,52,1,60,3.31
RD,30,Closure,52,2,60,6.84
RD,30,Closure,52,3,60,8.61
RD,30,Closure,52,4,60,10.15
RD,30,Closure,53,0,60,0.0
