initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Closure,55,1,60,0.0
RD,30,Closure,55,4,60,0.0
RD,30,Closure,56,0,60,52.08
RD,30,Closure,56,1,60,14.58
RD,30,Closure,56,2,60,20.83
RD,30,Closure,56,3,60,37.5
RD,30,Closure,56,4,60,29.17
RD,30,Closure,57,0,60,1.0
RD,30,Closure,57,1,60,12.0
RD,30,Closure,57,2,60,4.0
RD,30,Closure,57,3,60,6.0
RD,30,Closure,57,4,60,0.0
RD,30,Closure,58,0,60,0.0
RD,30,Closure,58,1,60,0.0
RD,30,Closure,58,2,60,0.0
RD,30,Closure,58,3,60,0.0
RD,30,Closure,59,0,60,9.39
RD,30,Closure,59,1,60,4.24
RD,30,Closure,59,2,60,6.97
RD,30,Closure,59,3,60,4.55
RD,30,Closure,59,4,60,14.24
RD,30,Closure,60,0,60,14.7
RD,30,Closure,60,1,60,13.19
RD,30,Closure,60,2,60,12.76
RD,30,Closure,60,3,60,13.84
RD,30,Closure,60,4,60,9.95
RD,30,Closure,61,0,60,17.93
RD,30,Closure,61,1,60,14.24
RD,30,Closure,61,2,60,15.11
RD,30,Closure,61,3,60,15.65
RD,30,Closure,61,4,60,5.54
RD,30,Closure,62,0,60,25.0
RD,30,Closure,62,1,60,25.0
RD,30,Closure,62,2,60,25.0
RD,30,Closure,62,3,60,25.0
RD,30,Closure,62,4,60,25.0
RD,30,Closure,64,0,60,5.94
RD,30,Closure,64,1,60,4.06
RD,30,Closure,64,2,60,5.94
RD,30,Closure,64,3,60,6.88
RD,30,Closure,64,4,60,6.56
RD,30,Closure,65,0,60,7.98
RD,30,Closure,65,1,60,4.66
RD,30,Closure,65,2,60,5.32
RD,30,Closure,65,3,60,8.2
RD,30,Closure,65,4,60,4.88
RD,30,Closure,66,1,60,0.0
RD,30,Closure,66,2,60,0.0
RD,30,Closure,66,3,60,0.0
RD,30,Closure,66,4,60,0.0
RD,30,Closure,67,0,60,0.69
RD,30,Closure,67,2,60,6.9
RD,30,Closure,67,3,60,5.52
RD,30,Closure,68,0,60,6.79
RD,30,Closure,68,1,60,7.13
RD,30,Closure,68,2,60,6.45
RD,30,Closure,68,3,60,8.32
RD,30,Closure,68,4,60,4.24
RD,30,Closure,69,1,60,0.0
RD,30,Closure,69,3,60,0.0
RD,30,Closure,69,4,60,0.0
RD,30,Closure,70,0,60,0.0
RD,30,Closure,70,1,60,0.16
RD,30,Closure,70,2,60,0.0
RD,30,Closure,70,4,60,0.16
RD,30,Closure,71,4,60,0.0
RD,30,Closure,72,0,60,1.98
RD,30,Closure,72,1,60,0.0
RD,30,Closure,72,2,60,0.0
RD,30,Closure,72,3,60,0.0
RD,30,Closure,72,4,60,0.0
RD,30,Closure,73,0,60,5.57
RD,30,Closure,73,1,60,6.01
RD,30,Closure,73,2,60,8.24
RD,30,Closure,73,3,60,2.23
RD,30,Closure,73,4,60,4.01
RD,30,Closure,74,0,60,0.81
RD,30,Closure,74,1,60,0.81
RD,30,Closure,74,4,60,0.48
RD,30,Closure,75,0,60,12.68
RD,30,Closure,75,1,60,15.49
RD,30,Closure,75,2,60,10.77
RD,30,Closure,75,3,60,12.79
RD,30,Closure,75,4,60,13.24
RD,30,Closure,76,1,60,0.0
RD,30,Closure,76,3,60,0.0
RD,30,Closure,77,0,60,7.37
RD,30,Closure,77,1,60,4.61
RD,30,Closure,77,2,60,9.22
RD,30,Closure,77,3,60,4.84
RD,30,Closure,77,4,60,3.69
RD,30,Closure,78,1,60,0.0
RD,30,Closure,78,2,60,0.52
RD,30,Closure,79,0,60,11.76
RD,30,Closure,79,1,60,0.84
RD,30,Closure,79,2,60,0.0
RD,30,Closure,79,3,60,0.0
RD,30,Closure,79,4,60,12.61
RD,30,Closure,80,0,60,13.3
RD,30,Closure,80,1,60,11.39
RD,30,Closure,80,2,60,11.95
RD,30,Closure,80,3,60,19.39
RD,30,Closure,80,4,60,18.38
RD,30,Closure,81,1,60,0.0
RD,30,Closure,81,2,60,0.0
RD,30,Closure,82,0,60,21.15
RD,30,Closure,82,1,60,21.15
RD,30,Closure,82,2,60,21.79
RD,30,Closure,82,3,60,27.56
RD,30,Closure,82,4,60,32.69
RD,30,Closure,83,1,60,13.51
RD,30,Closure,83,2,60,13.89
RD,30,Closure,83,3,60,0.0
RD,30,Closure,83,4,60,13.89
RD,30,Closure,84,0,60,0.0
RD,30,Closure,84,1,60,0.0
RD,30,Closure,84,2,60,0.0
RD,30,Closure,84,3,60,5.46
RD,30,Closure,85,0,60,5.36
RD,30,Closure,85,1,60,0.0
RD,30,Closure,85,2,60,5.36
RD,30,Closure,85,4,60,0.0
RD,30,Closure,86,0,60,11.63
RD,30,Closure,86,1,60,14.82
RD,30,Closure,86,2,60,12.74
RD,30,Closure,86,3,60,12.19
RD,30,Closure,86,4,60,13.85
RD,30,Closure,87,1,60,0.32
RD,30,Closure,87,2,60,0.32
RD,30,Closure,87,3,60,0.65
RD,30,Closure,87,4,60,0.32
RD,30,Closure,88,4,60,0.0
RD,30,Closure,89,0,60,0.96
RD,30,Closure,89,1,60,1.92
RD,30,Closure,89,3,60,0.0
RD,30,Closure,89,4,60,0.58
RD,30,Closure,90,0,60,10.54
RD,30,Closure,90,1,60,12.84
RD,30,Closure,90,2,60,7.47
RD,30,Closure,90,3,60,6.7
RD,30,Closure,90,4,60,13.03
RD,30,Closure,92,0,60,1.16
RD,30,Closure,92,2,60,1.16
